rust,"const_item,enum_item,field_declaration,function_item,impl_item,mod_item,static_item,struct_item,trait_item,type_item,where_clause"
go,"field_declaration,function_declaration,function_type,method_declaration,method_elem,parameter_declaration,type_elem,type_spec"
python,"class_definition,decorated_definition,function_definition,typed_parameter"
java,"annotation_type_declaration,class_declaration,constructor_declaration,enum_declaration,field_declaration,formal_parameter,interface_declaration,method_declaration,record_declaration"
javascript,"class_declaration,field_definition,function_declaration,function_expression,generator_function_declaration,lexical_declaration,method_definition,property_definition,variable_declaration"
typescript,"abstract_class_declaration,class_declaration,enum_declaration,function_declaration,heritage_clause,interface_declaration,lexical_declaration,method_definition,method_signature,property_signature,type_alias_declaration"
cpp,"base_class_clause,base_class_specifier,class_specifier,declaration,field_declaration,function_definition,namespace_definition,parameter_declaration,struct_specifier,template_declaration,union_specifier"
c,"declaration,enum_specifier,field_declaration,function_definition,parameter_declaration,struct_specifier,union_specifier"
csharp,"base_list,class_declaration,enum_declaration,field_declaration,interface_declaration,method_declaration,namespace_declaration,parameter,record_declaration,struct_declaration"
ruby,"class,function,ivar,method,module,module_function,singleton_class,singleton_method"
php,"class_declaration,enum_declaration,extends_clause,formal_parameters,function_definition,implements_clause,interface_declaration,method_declaration,property_declaration,trait_declaration"
css,"block,keyframe_rule_set,keyframes_statement,media_statement,rule_set"
html,"doctype,element,script_element,style_element"
kotlin,"class_declaration,function_declaration,object_declaration"
swift,"class_declaration,function_declaration,protocol_declaration"
scala,"class_definition,function_definition,object_definition"
json,"array,object,pair"
